t,K,U,E,N0,Nx,S/nk,n
1,240.94,-40.94,200.0,0.4583,0.4928,2.9634899999999997,100
2,221.4,-21.4,200.0,0.3370000000000001,0.5399999999999998,2.97744,100
3,226.41,-26.41,200.0,0.37989999999999996,0.5043000000000001,3.06244,100
4,209.77,-9.77,200.0,0.2743,0.5490999999999998,2.96583,100
5,219.11,-19.11,200.0,0.3611,0.46889999999999993,3.10877,100
6,225.1,-25.1,200.0,0.3599000000000001,0.5312,3.06238,100
7,224.32,-24.32,200.0,0.3824,0.4784000000000001,3.13971,100
8,222.8,-22.8,200.0,0.35609999999999997,0.5158,3.10194,100
9,224.4,-24.4,200.0,0.40919999999999995,0.4256,3.19645,100
10,219.33,-19.33,200.0,0.3334,0.5265000000000001,3.07355,100
11,218.21,-18.21,200.0,0.3813,0.4195000000000001,3.17664,100
12,222.95,-22.95,200.0,0.3619,0.5056999999999999,3.11562,100
13,221.26,-21.26,200.0,0.39,0.43260000000000004,3.1949,100
14,217.33,-17.33,200.0,0.32799999999999996,0.5172999999999999,3.10323,100
15,222.78,-22.78,200.0,0.40569999999999995,0.4164000000000001,3.22079,100
16,218.37,-18.37,200.0,0.34029999999999994,0.5031,3.12368,100
17,217.2,-17.2,200.0,0.3768,0.41839999999999994,3.2016,100
18,230.1,-30.1,200.0,0.39879999999999993,0.5034,3.1449499999999997,100
19,219.91,-19.91,200.0,0.36179999999999984,0.47550000000000003,3.1621799999999998,100
20,218.96,-18.96,200.0,0.3265,0.5366000000000001,3.09017,100
21,219.55,-19.55,200.0,0.37059999999999993,0.4542999999999999,3.18217,100
22,223.34,-23.34,200.0,0.3632000000000001,0.507,3.13606,100
23,224.19,-24.19,200.0,0.4104,0.4211000000000001,3.22623,100
24,217.16,-17.16,200.0,0.33019999999999994,0.5112,3.11513,100
25,210.69,-10.69,200.0,0.3271,0.45270000000000005,3.1353899999999997,100
26,212.58,-12.58,200.0,0.3095,0.5068,3.09806,100
27,214.55,-14.55,200.0,0.3482,0.44909999999999994,3.16364,100
28,218.81,-18.81,200.0,0.34509999999999996,0.4978999999999999,3.1325,100
29,222.77,-22.77,200.0,0.3723,0.4831,3.15869,100
30,221.86,-21.86,200.0,0.37390000000000007,0.4708000000000001,3.16509,100
31,218.96,-18.96,200.0,0.3483,0.49300000000000005,3.13227,100
32,215.28,-15.28,200.0,0.3158,0.5212,3.0919299999999996,100
33,220.01,-20.01,200.0,0.3513,0.4975,3.1366799999999997,100
34,218.95,-18.95,200.0,0.32469999999999993,0.5401,3.08121,100
35,217.8,-17.8,200.0,0.33980000000000005,0.49839999999999995,3.1182,100
