t,K,U,E,N0,Nx,S/nk,n
1,240.32,-40.32,200.0,0.48400000000000004,0.43520000000000003,3.07416,100
2,224.79,-24.79,200.0,0.38209999999999994,0.48369999999999996,3.0805100000000003,100
3,226.96,-26.96,200.0,0.39970000000000006,0.47019999999999995,3.11605,100
4,211.18,-11.18,200.0,0.29590000000000005,0.52,3.03558,100
5,224.73,-24.73,200.0,0.3939999999999999,0.4593,3.15836,100
6,217.98,-17.98,200.0,0.35119999999999996,0.47740000000000005,3.12512,100
7,227.75,-27.75,200.0,0.43520000000000003,0.4071000000000001,3.22281,100
8,221.87,-21.87,200.0,0.3722000000000001,0.4743,3.15197,100
9,216.89,-16.89,200.0,0.37550000000000006,0.41790000000000005,3.18364,100
10,215.4,-15.4,200.0,0.32080000000000003,0.5124,3.08546,100
11,218.14,-18.14,200.0,0.38270000000000015,0.41599999999999987,3.18368,100
12,214.87,-14.87,200.0,0.3187,0.5113,3.09698,100
13,228.56,-28.56,200.0,0.40409999999999996,0.4774000000000001,3.17553,100
14,220.59,-20.59,200.0,0.3579999999999998,0.4899000000000001,3.1449000000000003,100
15,221.0,-21.0,200.0,0.35940000000000005,0.4912,3.14561,100
16,222.42,-22.42,200.0,0.3754,0.4733999999999999,3.1706,100
17,215.6,-15.6,200.0,0.3209,0.5142000000000001,3.10307,100
18,224.97,-24.97,200.0,0.3791,0.4915,3.15239,100
19,222.68,-22.68,200.0,0.3999000000000001,0.42700000000000005,3.2124200000000003,100
20,217.85,-17.85,200.0,0.3465,0.48550000000000004,3.1404699999999997,100
21,223.27,-23.27,200.0,0.38849999999999996,0.45569999999999994,3.18155,100
22,216.87,-16.87,200.0,0.32120000000000004,0.5263,3.0885100000000003,100
23,220.49,-20.49,200.0,0.37109999999999993,0.46269999999999994,3.17073,100
24,220.89,-20.89,200.0,0.3525,0.5039000000000001,3.13022,100
25,220.61,-20.61,200.0,0.3758000000000001,0.4545,3.18086,100
26,218.8,-18.8,200.0,0.33349999999999996,0.5209999999999999,3.10096,100
27,223.12,-23.12,200.0,0.3926,0.44599999999999995,3.19185,100
28,217.02,-17.02,200.0,0.32659999999999995,0.517,3.1038699999999997,100
29,224.04,-24.04,200.0,0.3762,0.4879999999999999,3.15854,100
30,214.65,-14.65,200.0,0.3117,0.5231,3.08811,100
31,223.99,-23.99,200.0,0.3957,0.44849999999999995,3.19591,100
32,221.05,-21.05,200.0,0.3363999999999999,0.5377,3.09118,100
33,223.36,-23.36,200.0,0.3769000000000001,0.4798000000000001,3.16837,100
34,221.42,-21.42,200.0,0.3581,0.49800000000000005,3.13815,100
35,233.0,-33.0,200.0,0.4573,0.41540000000000005,3.24161,100
36,222.91,-22.91,200.0,0.36219999999999997,0.5047,3.1376,100
37,229.64,-29.64,200.0,0.4263,0.4438000000000001,3.21281,100
38,217.42,-17.42,200.0,0.34299999999999997,0.4882,3.13714,100
39,223.76,-23.76,200.0,0.3846,0.4684,3.18203,100
40,224.2,-24.2,200.0,0.3822,0.4776,3.1732,100
41,229.19,-29.19,200.0,0.419,0.4538999999999999,3.20565,100
42,216.43,-16.43,200.0,0.33140000000000003,0.5015,3.12209,100
43,218.13,-18.13,200.0,0.36479999999999996,0.4517000000000001,3.17597,100
44,222.99,-22.99,200.0,0.3726,0.48469999999999996,3.16067,100
45,218.49,-18.49,200.0,0.3443,0.4962999999999999,3.13525,100
46,226.32,-26.32,200.0,0.39899999999999997,0.46520000000000006,3.1805700000000003,100
47,226.36,-26.36,200.0,0.4148999999999999,0.4338000000000001,3.21792,100
48,226.64,-26.64,200.0,0.3956,0.47519999999999996,3.17578,100
49,222.03,-22.03,200.0,0.37189999999999995,0.47650000000000003,3.1674,100
50,222.33,-22.33,200.0,0.3949000000000001,0.4335000000000001,3.2112399999999997,100
51,218.45,-18.45,200.0,0.36550000000000005,0.45350000000000007,3.1779,100
52,221.05,-21.05,200.0,0.36229999999999996,0.48590000000000005,3.15012,100
53,220.54,-20.54,200.0,0.3716,0.4622,3.17573,100
54,221.02,-21.02,200.0,0.35309999999999986,0.504,3.13552,100
55,221.89,-21.89,200.0,0.37800000000000006,0.4628999999999999,3.18102,100
56,218.34,-18.34,200.0,0.34840000000000004,0.4866,3.14641,100
57,214.8,-14.8,200.0,0.3178,0.5124,3.09723,100
58,221.15,-21.15,200.0,0.374,0.4635,3.17903,100
59,227.47,-27.47,200.0,0.39139999999999986,0.4919,3.1579699999999997,100
60,217.01,-17.01,200.0,0.35120000000000007,0.4677,3.1526,100
61,224.02,-24.02,200.0,0.359,0.5222,3.11596,100
62,214.81,-14.81,200.0,0.32280000000000003,0.5025,3.11425,100
63,230.92,-30.92,200.0,0.40279999999999994,0.5036,3.14935,100
64,220.26,-20.26,200.0,0.3601,0.48239999999999994,3.1536399999999998,100
65,219.36,-19.36,200.0,0.3567,0.4802,3.15275,100
66,219.38,-19.38,200.0,0.3509999999999999,0.4918,3.1419099999999998,100
67,222.88,-22.88,200.0,0.37099999999999994,0.4868,3.15423,100
68,214.71,-14.71,200.0,0.3318000000000001,0.48350000000000004,3.13242,100
69,217.67,-17.67,200.0,0.34989999999999993,0.4769,3.15238,100
70,224.35,-24.35,200.0,0.4033,0.4369000000000001,3.21196,100
71,220.17,-20.17,200.0,0.37870000000000004,0.4443000000000001,3.18854,100
72,228.85,-28.85,200.0,0.4201999999999999,0.4481,3.2103800000000002,100
73,226.41,-26.41,200.0,0.3943,0.47550000000000003,3.1771100000000003,100
