t,K,U,E,N0,Nx,S/nk,n
1,238.59,-38.59,200.0,0.4579999999999999,0.46989999999999993,3.01553,100
2,222.62,-22.62,200.0,0.3528,0.5206000000000001,3.00039,100
3,215.56,-15.56,200.0,0.36169999999999997,0.4322,3.0933800000000002,100
4,216.92,-16.92,200.0,0.3085,0.5522,2.9952199999999998,100
5,222.04,-22.04,200.0,0.3852,0.45,3.1374400000000002,100
6,219.35,-19.35,200.0,0.3209,0.5517,3.02626,100
7,216.29,-16.29,200.0,0.35440000000000005,0.45409999999999995,3.13113,100
8,221.61,-21.61,200.0,0.34120000000000006,0.5337000000000001,3.06472,100
9,222.95,-22.95,200.0,0.39929999999999993,0.43089999999999995,3.18824,100
10,218.28,-18.28,200.0,0.3432,0.49639999999999995,3.10962,100
11,221.2,-21.2,200.0,0.3774,0.4572,3.15012,100
12,216.58,-16.58,200.0,0.30850000000000005,0.5488,3.05132,100
13,217.74,-17.74,200.0,0.3303999999999999,0.5166000000000001,3.09562,100
14,215.51,-15.51,200.0,0.3206,0.5139,3.06879,100
15,218.18,-18.18,200.0,0.3797,0.42239999999999994,3.17339,100
16,211.71,-11.71,200.0,0.3094,0.4983000000000001,3.0730500000000003,100
17,223.2,-23.2,200.0,0.40310000000000007,0.4257999999999999,3.17413,100
18,209.97,-9.97,200.0,0.2717,0.5563,3.00115,100
19,224.9,-24.9,200.0,0.4185999999999999,0.4118,3.21352,100
20,214.65,-14.65,200.0,0.3041,0.5382999999999999,3.05952,100
21,222.32,-22.32,200.0,0.38439999999999996,0.4544,3.18435,100
22,221.09,-21.09,200.0,0.34680000000000005,0.5172999999999999,3.1192800000000003,100
23,215.36,-15.36,200.0,0.33559999999999995,0.48239999999999994,3.13958,100
24,218.66,-18.66,200.0,0.3484,0.48979999999999985,3.1423,100
25,219.93,-19.93,200.0,0.3616000000000001,0.47609999999999997,3.16294,100
26,220.15,-20.15,200.0,0.3453000000000001,0.5109000000000001,3.12563,100
27,223.05,-23.05,200.0,0.3582,0.5141,3.12705,100
28,223.12,-23.12,200.0,0.37450000000000006,0.4821999999999999,3.16671,100
29,224.53,-24.53,200.0,0.3841000000000001,0.4770999999999999,3.17384,100
30,222.37,-22.37,200.0,0.34509999999999996,0.5335,3.103,100
31,219.83,-19.83,200.0,0.3445,0.5093,3.1273299999999997,100
32,221.19,-21.19,200.0,0.3483999999999999,0.5151,3.1178000000000003,100
33,218.12,-18.12,200.0,0.34310000000000007,0.495,3.1344600000000002,100
34,223.28,-23.28,200.0,0.40379999999999994,0.42519999999999997,3.21667,100
35,222.31,-22.31,200.0,0.38900000000000007,0.44510000000000005,3.19039,100
36,217.66,-17.66,200.0,0.3502,0.47620000000000007,3.15335,100
37,220.16,-20.16,200.0,0.34739999999999993,0.5068,3.13027,100
38,215.7,-15.7,200.0,0.35090000000000005,0.4552000000000001,3.16494,100
39,220.56,-20.56,200.0,0.3568,0.49200000000000005,3.14856,100
40,222.16,-22.16,200.0,0.3699,0.48179999999999995,3.16392,100
41,215.06,-15.06,200.0,0.3256,0.49939999999999996,3.1195399999999998,100
42,215.18,-15.18,200.0,0.3307,0.49040000000000006,3.1309099999999996,100
43,216.24,-16.24,200.0,0.3211,0.5202,3.10104,100
44,215.97,-15.97,200.0,0.3483,0.4631,3.15936,100
45,217.97,-17.97,200.0,0.32659999999999995,0.5265,3.09959,100
46,216.61,-16.61,200.0,0.35200000000000004,0.4621,3.16048,100
47,218.58,-18.58,200.0,0.34179999999999994,0.5022000000000001,3.12659,100
48,209.88,-9.88,200.0,0.3024,0.49400000000000005,3.09927,100
49,221.32,-21.32,200.0,0.3617999999999999,0.4895999999999999,3.14379,100
50,211.22,-11.22,200.0,0.2945,0.5231999999999999,3.07572,100
51,219.42,-19.42,200.0,0.3382,0.5178,3.11069,100
52,213.97,-13.97,200.0,0.3016000000000001,0.5365,3.06738,100
53,225.51,-25.51,200.0,0.40009999999999996,0.45489999999999997,3.19767,100
54,223.11,-23.11,200.0,0.3838,0.4635000000000001,3.18282,100
55,221.72,-21.72,200.0,0.35999999999999993,0.49720000000000014,3.14247,100
56,222.2,-22.2,200.0,0.375,0.47200000000000003,3.1709899999999998,100
57,222.58,-22.58,200.0,0.38050000000000017,0.4647999999999999,3.17883,100
58,226.32,-26.32,200.0,0.3743,0.5146000000000001,3.1311199999999997,100
59,217.25,-17.25,200.0,0.3461,0.4803,3.14726,100
60,219.11,-19.11,200.0,0.3248,0.5415000000000001,3.08098,100
61,214.71,-14.71,200.0,0.33270000000000005,0.4817,3.1360900000000003,100
62,223.14,-23.14,200.0,0.35009999999999997,0.5312,3.10448,100
63,220.76,-20.76,200.0,0.34459999999999996,0.5184000000000001,3.1176399999999997,100
64,219.95,-19.95,200.0,0.3612,0.4770999999999999,3.15521,100
65,217.6,-17.6,200.0,0.3577,0.4606,3.16155,100
66,230.07,-30.07,200.0,0.4242,0.4522999999999999,3.20559,100
67,223.97,-23.97,200.0,0.38970000000000016,0.4603,3.18504,100
68,218.37,-18.37,200.0,0.3518999999999999,0.4799,3.14924,100
69,224.51,-24.51,200.0,0.3925,0.46010000000000006,3.1886300000000003,100
70,227.78,-27.78,200.0,0.4086000000000001,0.46059999999999995,3.1895100000000003,100
71,217.15,-17.15,200.0,0.33549999999999996,0.5005000000000001,3.12091,100
72,221.64,-21.64,200.0,0.36739999999999995,0.48160000000000003,3.15921,100
73,221.64,-21.64,200.0,0.3699,0.47659999999999997,3.16445,100
74,221.09,-21.09,200.0,0.3592,0.49249999999999994,3.13903,100
75,222.67,-22.67,200.0,0.3724,0.48190000000000005,3.16034,100
76,219.7,-19.7,200.0,0.3627,0.4716,3.16346,100
77,223.25,-23.25,200.0,0.3824000000000001,0.46770000000000017,3.17875,100
78,222.82,-22.82,200.0,0.3615,0.5052,3.1368400000000003,100
79,221.64,-21.64,200.0,0.36880000000000007,0.4788,3.16296,100
80,223.24,-23.24,200.0,0.37160000000000004,0.4892,3.15698,100
81,217.97,-17.97,200.0,0.32189999999999996,0.5359000000000002,3.08786,100
82,217.24,-17.24,200.0,0.35800000000000004,0.45640000000000003,3.16401,100
83,223.62,-23.62,200.0,0.3753000000000001,0.4856,3.1561399999999997,100
84,214.64,-14.64,200.0,0.33549999999999996,0.47539999999999993,3.14267,100
85,216.31,-16.31,200.0,0.35109999999999997,0.46090000000000003,3.1595500000000003,100
86,217.81,-17.81,200.0,0.354,0.4700999999999999,3.15991,100
87,217.56,-17.56,200.0,0.35369999999999996,0.4682,3.1617800000000003,100
88,230.02,-30.02,200.0,0.4207000000000001,0.4587999999999999,3.19997,100
89,222.62,-22.62,200.0,0.36619999999999997,0.49379999999999996,3.15217,100
90,223.41,-23.41,200.0,0.37799999999999995,0.4781,3.1710100000000003,100
91,221.02,-21.02,200.0,0.3570000000000001,0.4962,3.14531,100
92,221.6,-21.6,200.0,0.3639,0.4881999999999999,3.15467,100
93,218.25,-18.25,200.0,0.32709999999999995,0.5283,3.09889,100
94,217.2,-17.2,200.0,0.3396,0.49279999999999985,3.13509,100
95,223.8,-23.8,200.0,0.3522999999999999,0.5334000000000001,3.10589,100
96,219.79,-19.79,200.0,0.37610000000000005,0.4457,3.18845,100
97,211.9,-11.9,200.0,0.2848,0.5494,3.04409,100
98,218.14,-18.14,200.0,0.3501000000000001,0.4811999999999999,3.15088,100
99,219.47,-19.47,200.0,0.33620000000000005,0.5223,3.1098600000000003,100
100,220.43,-20.43,200.0,0.36489999999999995,0.47449999999999987,3.16525,100
100,220.5,-20.5,200.0,0.3650999999999999,0.47479999999999994,3.16502,100
101,219.37,-19.37,200.0,0.33580000000000004,0.5221000000000001,3.1099,100
102,218.1,-18.1,200.0,0.3497000000000001,0.4816000000000001,3.1502800000000004,100
103,211.95,-11.95,200.0,0.28530000000000005,0.5489,3.04482,100
104,219.83,-19.83,200.0,0.37620000000000003,0.44589999999999996,3.18834,100
105,223.79,-23.79,200.0,0.35229999999999995,0.5333000000000001,3.10598,100
106,217.11,-17.11,200.0,0.3388999999999999,0.49329999999999996,3.13421,100
107,218.3,-18.3,200.0,0.32750000000000007,0.528,3.09943,100
108,221.65,-21.65,200.0,0.3644,0.4877,3.15535,100
109,221.0,-21.0,200.0,0.35660000000000003,0.4968000000000001,3.1446,100
110,223.4,-23.4,200.0,0.3782000000000001,0.4776,3.17154,100
111,222.65,-22.65,200.0,0.36629999999999996,0.4939,3.1521399999999997,100
112,229.98,-29.98,200.0,0.4207000000000001,0.4584,3.20024,100
113,217.43,-17.43,200.0,0.35269999999999996,0.4689000000000001,3.16049,100
114,217.97,-17.97,200.0,0.3551999999999999,0.4693,3.1613800000000003,100
115,216.2,-16.2,200.0,0.35029999999999994,0.46140000000000003,3.15866,100
116,214.7,-14.7,200.0,0.33570000000000005,0.47559999999999997,3.1427199999999997,100
117,223.54,-23.54,200.0,0.3753,0.48480000000000006,3.1565,100
118,217.36,-17.36,200.0,0.35790000000000005,0.45779999999999993,3.1630100000000003,100
119,217.94,-17.94,200.0,0.3223,0.5348,3.08904,100
120,223.27,-23.27,200.0,0.3713000000000001,0.49010000000000004,3.1560799999999998,100
121,221.66,-21.66,200.0,0.3693,0.47800000000000004,3.16392,100
122,222.88,-22.88,200.0,0.36149999999999993,0.5058,3.13622,100
123,223.16,-23.16,200.0,0.3824,0.4668,3.1795500000000003,100
124,219.75,-19.75,200.0,0.36249999999999993,0.4725000000000001,3.1626399999999997,100
125,222.56,-22.56,200.0,0.3723,0.48100000000000004,3.16092,100
126,221.2,-21.2,200.0,0.3592,0.4935999999999999,3.1381799999999997,100
127,221.61,-21.61,200.0,0.37029999999999985,0.4755,3.1656,100
128,221.62,-21.62,200.0,0.3667,0.48279999999999995,3.15785,100
129,217.11,-17.11,200.0,0.336,0.4991,3.12221,100
130,227.78,-27.78,200.0,0.40800000000000003,0.4618,3.18835,100
131,224.54,-24.54,200.0,0.3933,0.4587999999999999,3.18998,100
132,218.42,-18.42,200.0,0.3514000000000001,0.48139999999999994,3.1478200000000003,100
133,224.0,-24.0,200.0,0.3906,0.45879999999999993,3.1866999999999996,100
134,230.07,-30.07,200.0,0.4237,0.4533,3.20461,100
135,217.4,-17.4,200.0,0.35719999999999996,0.45959999999999995,3.1616999999999997,100
136,220.02,-20.02,200.0,0.3607999999999999,0.4785999999999999,3.1541300000000003,100
137,220.81,-20.81,200.0,0.3451000000000001,0.5179,3.11841,100
138,223.13,-23.13,200.0,0.34990000000000004,0.5315000000000001,3.1041,100
139,214.75,-14.75,200.0,0.3332,0.4811000000000001,3.13687,100
140,218.95,-18.95,200.0,0.3236,0.5423,3.0794200000000003,100
141,217.34,-17.34,200.0,0.3470000000000001,0.47940000000000005,3.1486799999999997,100
142,226.38,-26.38,200.0,0.3742000000000001,0.5154,3.13043,100
143,222.59,-22.59,200.0,0.38109999999999983,0.4637,3.1800300000000004,100
144,222.17,-22.17,200.0,0.3744000000000001,0.47290000000000015,3.16999,100
145,221.79,-21.79,200.0,0.3606999999999999,0.49650000000000005,3.1433899999999997,100
146,223.15,-23.15,200.0,0.3839,0.4636999999999999,3.18266,100
147,225.37,-25.37,200.0,0.3993,0.4550999999999999,3.19714,100
148,214.06,-14.06,200.0,0.3017,0.5372000000000001,3.0667199999999997,100
149,219.27,-19.27,200.0,0.3378,0.5171000000000001,3.11108,100
150,211.29,-11.29,200.0,0.29460000000000003,0.5236999999999999,3.07545,100
151,221.17,-21.17,200.0,0.36149999999999993,0.48870000000000013,3.14395,100
152,209.96,-9.96,200.0,0.3024,0.4948,3.09895,100
153,218.61,-18.61,200.0,0.3423999999999999,0.5013000000000001,3.12763,100
154,216.72,-16.72,200.0,0.352,0.4632,3.15962,100
155,217.91,-17.91,200.0,0.32689999999999997,0.5253,3.10075,100
156,215.96,-15.96,200.0,0.34759999999999996,0.46440000000000003,3.1579200000000003,100
157,216.28,-16.28,200.0,0.32189999999999996,0.519,3.1025,100
158,215.11,-15.11,200.0,0.3299,0.4913,3.12973,100
159,215.09,-15.09,200.0,0.3261,0.4987,3.1204,100
160,222.16,-22.16,200.0,0.3696,0.4824,3.16329,100
161,220.63,-20.63,200.0,0.35749999999999993,0.49129999999999996,3.1495,100
162,215.63,-15.63,200.0,0.3502,0.4559000000000001,3.164,100
163,220.2,-20.2,200.0,0.348,0.506,3.13122,100
164,217.55,-17.55,200.0,0.34929999999999994,0.4769,3.15221,100
165,222.56,-22.56,200.0,0.3908,0.444,3.1921,100
166,223.19,-23.19,200.0,0.40290000000000004,0.4261000000000001,3.2157,100
167,218.12,-18.12,200.0,0.3432,0.4947999999999999,3.13469,100
168,221.1,-21.1,200.0,0.34759999999999996,0.5158,3.11677,100
169,219.86,-19.86,200.0,0.3448,0.509,3.12778,100
170,222.43,-22.43,200.0,0.34540000000000004,0.5335,3.10312,100
171,224.52,-24.52,200.0,0.38419999999999993,0.47680000000000006,3.17417,100
172,223.07,-23.07,200.0,0.3741999999999999,0.4822999999999999,3.1664899999999996,100
173,223.06,-23.06,200.0,0.35810000000000003,0.5144000000000001,3.1267300000000002,100
174,220.1,-20.1,200.0,0.3452000000000001,0.5105999999999999,3.12581,100
175,219.9,-19.9,200.0,0.36150000000000004,0.4760000000000001,3.16292,100
176,218.72,-18.72,200.0,0.34870000000000007,0.4898,3.1425300000000003,100
177,215.36,-15.36,200.0,0.3356,0.48239999999999994,3.13958,100
178,221.15,-21.15,200.0,0.3467,0.5181,3.11841,100
179,222.22,-22.22,200.0,0.38470000000000004,0.4527999999999999,3.1857399999999996,100
180,214.66,-14.66,200.0,0.30319999999999997,0.5402,3.0575300000000003,100
181,224.96,-24.96,200.0,0.4201,0.4094,3.21608,100
182,209.92,-9.92,200.0,0.2699000000000001,0.5593999999999999,2.9974600000000002,100
183,223.11,-23.11,200.0,0.4046,0.42190000000000005,3.17735,100
184,211.69,-11.69,200.0,0.3074,0.5021,3.06961,100
185,218.4,-18.4,200.0,0.3827,0.41860000000000014,3.1777399999999996,100
186,215.3,-15.3,200.0,0.31740000000000007,0.5181999999999999,3.06361,100
187,217.85,-17.85,200.0,0.3325999999999999,0.5133,3.10011,100
188,216.57,-16.57,200.0,0.30679999999999996,0.5521,3.0471,100
189,221.28,-21.28,200.0,0.37999999999999995,0.45280000000000004,3.15495,100
190,218.18,-18.18,200.0,0.34069999999999995,0.5004,3.1055300000000003,100
191,223.08,-23.08,200.0,0.4019,0.4270000000000001,3.1924099999999997,100
192,221.31,-21.31,200.0,0.33740000000000003,0.5382999999999999,3.0583899999999997,100
193,216.48,-16.48,200.0,0.35770000000000013,0.4494,3.1370500000000003,100
194,219.29,-19.29,200.0,0.31810000000000005,0.5567,3.0203800000000003,100
195,222.27,-22.27,200.0,0.38910000000000006,0.4445,3.1438800000000002,100
196,216.63,-16.63,200.0,0.30400000000000005,0.5583,2.98715,100
197,215.84,-15.84,200.0,0.3666000000000001,0.4252,3.10099,100
198,222.35,-22.35,200.0,0.3475000000000001,0.5285,2.99012,100
199,239.48,-39.48,200.0,0.467,0.4608,3.02254,100
