t,K,U,E,N0,Nx,S/nk,n
1,241.36,-41.36,200.0,0.4678,0.4779999999999999,2.9717800000000003,100
2,219.6,-19.6,200.0,0.3346,0.5267999999999999,2.98078,100
3,210.22,-10.22,200.0,0.31970000000000004,0.4628,3.0584499999999997,100
4,212.41,-12.41,200.0,0.3022,0.5197,3.03742,100
5,226.18,-26.18,200.0,0.41370000000000007,0.43439999999999995,3.1971100000000003,100
6,222.1,-22.1,200.0,0.37639999999999996,0.46820000000000006,3.16501,100
7,214.45,-14.45,200.0,0.3286,0.48729999999999996,3.12455,100
8,215.71,-15.71,200.0,0.33760000000000007,0.4818999999999999,3.14163,100
9,221.57,-21.57,200.0,0.3501000000000001,0.5155000000000001,3.12286,100
10,219.32,-19.32,200.0,0.3685999999999999,0.45600000000000007,3.1801399999999997,100
11,217.85,-17.85,200.0,0.3407,0.49709999999999993,3.13408,100
12,219.13,-19.13,200.0,0.33940000000000003,0.5125,3.1216500000000003,100
13,223.46,-23.46,200.0,0.3643,0.506,3.13836,100
14,217.3,-17.3,200.0,0.3522,0.4685999999999999,3.16179,100
15,213.58,-13.58,200.0,0.3171999999999999,0.5014,3.11189,100
16,219.91,-19.91,200.0,0.3406,0.5179,3.11135,100
17,215.42,-15.42,200.0,0.3285,0.4972,3.1241999999999996,100
18,211.11,-11.11,200.0,0.30330000000000007,0.5045000000000001,3.09394,100
19,223.94,-23.94,200.0,0.3625,0.5143999999999999,3.12869,100
20,221.24,-21.24,200.0,0.3935,0.4254,3.21226,100
21,220.89,-20.89,200.0,0.3497,0.5095,3.12708,100
22,222.93,-22.93,200.0,0.3777999999999999,0.47370000000000007,3.17232,100
23,223.93,-23.93,200.0,0.36590000000000006,0.5075,3.13436,100
24,220.2,-20.2,200.0,0.38079999999999997,0.44040000000000007,3.19144,100
25,220.32,-20.32,200.0,0.364,0.47519999999999996,3.153,100
26,224.02,-24.02,200.0,0.38959999999999995,0.46099999999999997,3.17956,100
27,213.21,-13.21,200.0,0.3104,0.5113,3.08539,100
28,222.17,-22.17,200.0,0.3868,0.4481,3.18389,100
29,211.49,-11.49,200.0,0.2958,0.5233,3.07035,100
30,221.11,-21.11,200.0,0.3775,0.45609999999999995,3.17786,100
31,224.75,-24.75,200.0,0.40830000000000005,0.43089999999999995,3.20443,100
32,223.05,-23.05,200.0,0.3843,0.46190000000000003,3.17254,100
33,222.71,-22.71,200.0,0.3708000000000001,0.4855,3.1521,100
34,218.36,-18.36,200.0,0.3297,0.5241999999999999,3.1029299999999997,100
35,235.0,-35.0,200.0,0.47420000000000007,0.40159999999999996,3.2543699999999998,100
36,214.77,-14.77,200.0,0.3066,0.5344999999999999,3.07201,100
37,216.01,-16.01,200.0,0.3501000000000001,0.45990000000000003,3.1612,100
38,220.55,-20.55,200.0,0.3667999999999999,0.47190000000000004,3.16419,100
39,210.73,-10.73,200.0,0.30789999999999995,0.4915,3.1031999999999997,100
40,219.07,-19.07,200.0,0.36450000000000005,0.4617,3.17104,100
41,216.9,-16.9,200.0,0.35069999999999996,0.46759999999999996,3.15519,100
42,209.57,-9.57,200.0,0.27830000000000005,0.5391,3.0494499999999998,100
43,219.35,-19.35,200.0,0.384,0.4254999999999999,3.2012899999999997,100
44,214.04,-14.04,200.0,0.3403,0.4598000000000001,3.15446,100
45,221.05,-21.05,200.0,0.3697,0.4711,3.17189,100
46,217.77,-17.77,200.0,0.33509999999999995,0.5075,3.12015,100
47,218.37,-18.37,200.0,0.3508,0.48210000000000003,3.14881,100
48,212.01,-12.01,200.0,0.2919,0.5363,3.06404,100
49,202.95,-2.95,200.0,0.24849999999999997,0.5325,3.01192,100
50,214.26,-14.26,200.0,0.34519999999999995,0.4522,3.162,100
51,213.82,-13.82,200.0,0.3156999999999999,0.5068,3.10791,100
52,210.92,-10.92,200.0,0.3197,0.4698,3.13063,100
53,210.18,-10.18,200.0,0.30810000000000004,0.48560000000000003,3.1066,100
54,223.46,-23.46,200.0,0.41069999999999995,0.41320000000000007,3.22699,100
55,221.53,-21.53,200.0,0.379,0.45730000000000004,3.17487,100
56,216.15,-16.15,200.0,0.33589999999999987,0.48969999999999997,3.12933,100
57,212.57,-12.57,200.0,0.3301,0.4655,3.13451,100
58,214.38,-14.38,200.0,0.33260000000000006,0.47860000000000014,3.13632,100
59,219.56,-19.56,200.0,0.34869999999999995,0.4982000000000001,3.13361,100
60,217.63,-17.63,200.0,0.3539000000000001,0.4685,3.1565100000000004,100
61,224.49,-24.49,200.0,0.36450000000000005,0.5159,3.12001,100
62,215.4,-15.4,200.0,0.3305,0.49300000000000005,3.12331,100
63,218.49,-18.49,200.0,0.33559999999999995,0.5137000000000002,3.1153899999999997,100
64,216.19,-16.19,200.0,0.3345,0.4929,3.1275399999999998,100
65,218.89,-18.89,200.0,0.3651999999999999,0.4585,3.17407,100
66,220.15,-20.15,200.0,0.35999999999999993,0.4815,3.1573,100
67,216.91,-16.91,200.0,0.3514,0.46630000000000005,3.15626,100
68,218.66,-18.66,200.0,0.34529999999999994,0.496,3.1332600000000004,100
69,225.14,-25.14,200.0,0.39409999999999995,0.4632,3.1881999999999997,100
70,219.24,-19.24,200.0,0.3483,0.49579999999999996,3.1359299999999997,100
71,219.66,-19.66,200.0,0.34900000000000003,0.4986,3.13728,100
72,223.98,-23.98,200.0,0.3613,0.5172,3.1262800000000004,100
73,213.56,-13.56,200.0,0.3377999999999999,0.4599999999999999,3.1502800000000004,100
74,219.82,-19.82,200.0,0.37739999999999996,0.4433999999999999,3.18601,100
75,228.32,-28.32,200.0,0.4225999999999999,0.43799999999999994,3.21744,100
76,219.88,-19.88,200.0,0.3387,0.5214,3.10683,100
77,219.39,-19.39,200.0,0.35919999999999996,0.4755,3.15892,100
78,221.18,-21.18,200.0,0.36060000000000003,0.4905999999999999,3.14848,100
79,226.48,-26.48,200.0,0.42399999999999993,0.41680000000000006,3.23087,100
80,221.16,-21.16,200.0,0.38199999999999995,0.4476,3.18963,100
81,214.48,-14.48,200.0,0.33080000000000004,0.4832000000000001,3.13115,100
82,226.05,-26.05,200.0,0.4056,0.4493000000000001,3.20538,100
83,226.19,-26.19,200.0,0.37720000000000015,0.5075,3.1412600000000004,100
84,213.05,-13.05,200.0,0.33140000000000003,0.4677,3.14238,100
85,218.86,-18.86,200.0,0.32169999999999993,0.5452,3.0773200000000003,100
86,218.9,-18.9,200.0,0.34020000000000006,0.5086,3.1166,100
87,219.1,-19.1,200.0,0.34730000000000005,0.4964,3.12632,100
88,218.81,-18.81,200.0,0.3248,0.5385,3.0867600000000004,100
89,216.62,-16.62,200.0,0.36979999999999996,0.42660000000000003,3.19191,100
90,219.6,-19.6,200.0,0.34029999999999994,0.5154,3.11607,100
91,221.1,-21.1,200.0,0.4025,0.4059999999999999,3.22473,100
92,220.57,-20.57,200.0,0.3508999999999999,0.5038999999999999,3.13281,100
93,218.38,-18.38,200.0,0.3798,0.4242,3.2003000000000004,100
94,221.74,-21.74,200.0,0.33130000000000004,0.5548000000000001,3.0680300000000003,100
95,218.2,-18.2,200.0,0.35949999999999993,0.4629999999999999,3.16311,100
96,217.2,-17.2,200.0,0.3395,0.49300000000000005,3.1326199999999997,100
97,212.12,-12.12,200.0,0.28919999999999996,0.5428000000000001,3.05681,100
98,219.9,-19.9,200.0,0.36760000000000004,0.46379999999999993,3.16893,100
99,219.95,-19.95,200.0,0.33949999999999997,0.5205000000000001,3.1109899999999997,100
100,214.75,-14.75,200.0,0.33849999999999997,0.4705,3.1459699999999997,100
100,222.13,-22.13,200.0,0.38060000000000005,0.46009999999999995,3.18576,100
101,226.3,-26.3,200.0,0.3964999999999999,0.47,3.1825900000000003,100
102,224.88,-24.88,200.0,0.40609999999999985,0.4365999999999999,3.21223,100
103,222.3,-22.3,200.0,0.3793000000000001,0.46440000000000003,3.17994,100
104,220.13,-20.13,200.0,0.3479999999999999,0.5053,3.13052,100
105,221.07,-21.07,200.0,0.3574000000000001,0.49589999999999995,3.14187,100
106,219.33,-19.33,200.0,0.33959999999999996,0.5141,3.11312,100
107,223.74,-23.74,200.0,0.39330000000000004,0.45080000000000003,3.19621,100
108,220.21,-20.21,200.0,0.4014,0.3993,3.22768,100
109,215.12,-15.12,200.0,0.32049999999999995,0.5102,3.1048899999999997,100
110,219.94,-19.94,200.0,0.3705000000000001,0.4584,3.17735,100
111,210.89,-10.89,200.0,0.26210000000000006,0.5847,2.99089,100
112,221.12,-21.12,200.0,0.37259999999999993,0.466,3.16611,100
113,224.17,-24.17,200.0,0.37499999999999994,0.4917,3.1528899999999997,100
114,221.2,-21.2,200.0,0.3599,0.4922000000000001,3.1454899999999997,100
115,214.43,-14.43,200.0,0.31779999999999997,0.5087000000000002,3.1065300000000002,100
116,218.08,-18.08,200.0,0.3567,0.46740000000000015,3.16346,100
117,219.02,-19.02,200.0,0.3326,0.525,3.1054299999999997,100
118,227.28,-27.28,200.0,0.40630000000000005,0.46020000000000005,3.19548,100
119,219.08,-19.08,200.0,0.3322,0.5264,3.1022399999999997,100
120,216.43,-16.43,200.0,0.3360000000000001,0.4923,3.13078,100
121,214.78,-14.78,200.0,0.3436,0.46059999999999995,3.15376,100
122,209.88,-9.88,200.0,0.2927,0.5134000000000001,3.0736,100
123,209.93,-9.93,200.0,0.2816,0.5361,3.04528,100
124,210.33,-10.33,200.0,0.29649999999999993,0.5103,3.08206,100
125,211.94,-11.94,200.0,0.2977,0.524,3.075,100
126,207.71,-7.71,200.0,0.319,0.43910000000000005,3.1371700000000002,100
127,217.64,-17.64,200.0,0.3437999999999999,0.48879999999999996,3.1395500000000003,100
128,213.2,-13.2,200.0,0.316,0.5,3.1019699999999997,100
129,211.92,-11.92,200.0,0.3088,0.5015999999999999,3.09984,100
130,214.06,-14.06,200.0,0.3368,0.46699999999999997,3.1462800000000004,100
131,219.39,-19.39,200.0,0.34809999999999997,0.49770000000000003,3.13612,100
132,228.54,-28.54,200.0,0.40449999999999997,0.4764,3.1774899999999997,100
133,222.77,-22.77,200.0,0.36260000000000003,0.5025,3.14094,100
134,216.91,-16.91,200.0,0.3501000000000001,0.4689000000000001,3.15605,100
135,218.76,-18.76,200.0,0.3415000000000001,0.5046,3.1275,100
136,219.76,-19.76,200.0,0.34509999999999996,0.5074000000000001,3.12883,100
137,221.22,-21.22,200.0,0.37099999999999994,0.4702,3.17185,100
138,223.18,-23.18,200.0,0.37979999999999997,0.4722,3.1757,100
139,212.52,-12.52,200.0,0.3256000000000001,0.474,3.12663,100
140,218.0,-18.0,200.0,0.3521,0.47580000000000006,3.15439,100
141,219.56,-19.56,200.0,0.3515,0.49260000000000004,3.14423,100
142,216.83,-16.83,200.0,0.3514999999999999,0.4653,3.1555,100
143,207.43,-7.43,200.0,0.26959999999999995,0.5351,3.03496,100
144,212.5,-12.5,200.0,0.3073,0.5104,3.08683,100
145,209.71,-9.71,200.0,0.29369999999999996,0.5097,3.07447,100
146,224.89,-24.89,200.0,0.4082999999999999,0.4323,3.21589,100
147,215.96,-15.96,200.0,0.34459999999999996,0.4704,3.15031,100
148,219.63,-19.63,200.0,0.3588,0.47869999999999996,3.15917,100
149,217.73,-17.73,200.0,0.36340000000000006,0.45049999999999996,3.17895,100
150,218.56,-18.56,200.0,0.33769999999999994,0.5101999999999999,3.11522,100
151,222.56,-22.56,200.0,0.3988000000000001,0.4280000000000001,3.21191,100
152,217.88,-17.88,200.0,0.3399999999999999,0.4988000000000001,3.12746,100
153,224.35,-24.35,200.0,0.3826,0.4783000000000001,3.16981,100
154,214.39,-14.39,200.0,0.3263,0.49129999999999996,3.12529,100
155,214.01,-14.01,200.0,0.3361,0.4678999999999999,3.14654,100
156,216.86,-16.86,200.0,0.33570000000000005,0.4972,3.12179,100
157,220.47,-20.47,200.0,0.34309999999999996,0.5185,3.11564,100
158,220.43,-20.43,200.0,0.3716,0.4611,3.1790100000000003,100
159,220.81,-20.81,200.0,0.37370000000000003,0.46069999999999994,3.17883,100
160,217.78,-17.78,200.0,0.34489999999999993,0.48800000000000004,3.1425500000000004,100
161,221.27,-21.27,200.0,0.38,0.45269999999999994,3.18731,100
162,209.35,-9.35,200.0,0.2942,0.5050999999999999,3.08657,100
163,216.0,-16.0,200.0,0.3660999999999999,0.42779999999999996,3.18825,100
164,219.35,-19.35,200.0,0.35770000000000013,0.47809999999999997,3.1592800000000003,100
165,217.8,-17.8,200.0,0.3683999999999999,0.44120000000000004,3.1863699999999997,100
166,217.82,-17.82,200.0,0.3431,0.49200000000000005,3.13771,100
167,218.6,-18.6,200.0,0.3847,0.41659999999999997,3.20753,100
168,220.13,-20.13,200.0,0.3474000000000001,0.5065000000000001,3.12263,100
169,219.81,-19.81,200.0,0.36729999999999996,0.4635,3.16778,100
170,213.23,-13.23,200.0,0.32280000000000003,0.48669999999999997,3.11785,100
171,218.51,-18.51,200.0,0.3437000000000001,0.4977,3.12502,100
172,220.55,-20.55,200.0,0.3738,0.4579,3.1731700000000003,100
173,222.53,-22.53,200.0,0.3359,0.5535,3.06588,100
174,219.54,-19.54,200.0,0.3829000000000001,0.4296000000000001,3.19597,100
175,213.26,-13.26,200.0,0.3131,0.5064,3.0953000000000004,100
176,219.79,-19.79,200.0,0.35620000000000007,0.48550000000000004,3.1521500000000002,100
177,217.42,-17.42,200.0,0.34389999999999993,0.4864,3.1427899999999998,100
178,223.3,-23.3,200.0,0.37989999999999996,0.4732,3.1745300000000003,100
179,222.39,-22.39,200.0,0.36239999999999994,0.4991,3.145,100
180,218.97,-18.97,200.0,0.36559999999999987,0.4585,3.17596,100
181,216.85,-16.85,200.0,0.3343999999999999,0.4997,3.12635,100
182,215.25,-15.25,200.0,0.32730000000000004,0.49790000000000006,3.12258,100
183,219.01,-19.01,200.0,0.37499999999999994,0.4401,3.1925,100
184,221.04,-21.04,200.0,0.3524999999999999,0.5054000000000001,3.12827,100
185,220.55,-20.55,200.0,0.38839999999999997,0.42869999999999997,3.20194,100
186,219.91,-19.91,200.0,0.35169999999999996,0.4956999999999999,3.13898,100
187,228.09,-28.09,200.0,0.40129999999999993,0.47830000000000006,3.17571,100
188,221.12,-21.12,200.0,0.37639999999999996,0.45840000000000003,3.1845,100
189,215.72,-15.72,200.0,0.3670999999999999,0.42300000000000004,3.18996,100
190,214.79,-14.79,200.0,0.34140000000000015,0.46509999999999996,3.15345,100
191,219.15,-19.15,200.0,0.3806999999999999,0.4301,3.19624,100
192,215.34,-15.34,200.0,0.3081,0.5372,3.07207,100
193,214.04,-14.04,200.0,0.3355,0.46940000000000004,3.1438200000000003,100
194,213.47,-13.47,200.0,0.3211,0.49249999999999994,3.1201,100
195,222.34,-22.34,200.0,0.3704,0.48260000000000003,3.1572199999999997,100
196,231.13,-31.13,200.0,0.4232999999999999,0.46470000000000006,3.19025,100
197,218.34,-18.34,200.0,0.3777999999999999,0.4278000000000002,3.19252,100
198,210.94,-10.94,200.0,0.30810000000000004,0.4932,3.10569,100
199,217.67,-17.67,200.0,0.34550000000000003,0.4856999999999999,3.14298,100
