t,K,U,E,N0,Nx,S/nk,n
1,243.15,-43.15,200.0,0.4853,0.4609,3.01901,100
2,218.84,-18.84,200.0,0.3153,0.5578,2.982,100
3,217.03,-17.03,200.0,0.3626,0.4451,3.14012,100
4,218.08,-18.08,200.0,0.34199999999999997,0.4968,3.10248,100
5,217.59,-17.59,200.0,0.35779999999999995,0.4603,3.1496500000000003,100
6,216.51,-16.51,200.0,0.33970000000000006,0.4857,3.12683,100
7,210.75,-10.75,200.0,0.32980000000000004,0.4478999999999999,3.1374899999999997,100
8,217.88,-17.88,200.0,0.3621000000000001,0.45460000000000006,3.1656500000000003,100
9,225.22,-25.22,200.0,0.40580000000000005,0.44060000000000005,3.2018,100
10,225.8,-25.8,200.0,0.3943,0.4694,3.17869,100
11,219.32,-19.32,200.0,0.3669000000000001,0.4594,3.1733000000000002,100
12,226.11,-26.11,200.0,0.39260000000000006,0.47590000000000005,3.1767600000000003,100
13,218.33,-18.33,200.0,0.35109999999999997,0.48109999999999986,3.1505799999999997,100
14,217.08,-17.08,200.0,0.34440000000000004,0.48200000000000004,3.1468000000000003,100
15,213.25,-13.25,200.0,0.3398,0.4529000000000001,3.15637,100
16,215.38,-15.38,200.0,0.3072,0.5394000000000001,3.07436,100
17,223.66,-23.66,200.0,0.4000000000000001,0.4366,3.21025,100
18,213.38,-13.38,200.0,0.3057,0.5224,3.0845599999999997,100
19,218.6,-18.6,200.0,0.35050000000000003,0.4849999999999999,3.14961,100
20,220.58,-20.58,200.0,0.3390999999999999,0.5276,3.10615,100
21,214.84,-14.84,200.0,0.3257,0.49699999999999994,3.12208,100
22,221.51,-21.51,200.0,0.3595999999999999,0.4959,3.14397,100
23,218.74,-18.74,200.0,0.3635,0.4604,3.16984,100
24,213.35,-13.35,200.0,0.2948,0.5438999999999999,3.05835,100
25,216.67,-16.67,200.0,0.3496000000000001,0.4675000000000001,3.15558,100
26,221.37,-21.37,200.0,0.354,0.5057000000000001,3.1331599999999997,100
27,228.71,-28.71,200.0,0.4114999999999999,0.4641,3.1933200000000004,100
28,223.9,-23.9,200.0,0.37879999999999997,0.48140000000000005,3.1665,100
29,219.25,-19.25,200.0,0.3575999999999999,0.47729999999999995,3.1595500000000003,100
30,219.56,-19.56,200.0,0.3682,0.4592000000000001,3.17623,100
31,212.62,-12.62,200.0,0.32909999999999995,0.4679999999999999,3.14053,100
32,218.54,-18.54,200.0,0.3543,0.4768,3.15427,100
33,213.49,-13.49,200.0,0.32289999999999996,0.48909999999999987,3.1195999999999997,100
34,217.46,-17.46,200.0,0.35830000000000006,0.458,3.16683,100
35,216.69,-16.69,200.0,0.33069999999999994,0.5055000000000001,3.11736,100
36,220.51,-20.51,200.0,0.3563,0.4925,3.14223,100
37,219.71,-19.71,200.0,0.3411,0.5149,3.11592,100
38,220.34,-20.34,200.0,0.36479999999999996,0.47379999999999994,3.1663200000000002,100
39,230.74,-30.74,200.0,0.42210000000000003,0.4632,3.197,100
40,226.0,-26.0,200.0,0.38970000000000005,0.48059999999999997,3.1691700000000003,100
41,229.04,-29.04,200.0,0.4166,0.4572,3.19954,100
42,226.53,-26.53,200.0,0.39480000000000004,0.47570000000000007,3.1798699999999998,100
43,224.74,-24.74,200.0,0.39550000000000013,0.45640000000000003,3.19392,100
44,218.87,-18.87,200.0,0.34590000000000004,0.49689999999999995,3.13752,100
45,219.87,-19.87,200.0,0.3633999999999999,0.4719,3.16583,100
46,219.29,-19.29,200.0,0.3484,0.49610000000000004,3.1399,100
47,215.35,-15.35,200.0,0.32409999999999994,0.5052999999999999,3.1121,100
48,209.34,-9.34,200.0,0.26220000000000004,0.569,3.00679,100
49,211.54,-11.54,200.0,0.30389999999999995,0.5076,3.0955100000000004,100
50,221.16,-21.16,200.0,0.3452,0.5212,3.11248,100
51,218.64,-18.64,200.0,0.34850000000000003,0.4893999999999999,3.14141,100
52,213.3,-13.3,200.0,0.35119999999999996,0.4305999999999999,3.1729000000000003,100
53,214.18,-14.18,200.0,0.3067,0.5284,3.07575,100
54,216.32,-16.32,200.0,0.32910000000000006,0.5050000000000001,3.10967,100
55,223.77,-23.77,200.0,0.3861,0.4655,3.17833,100
56,212.71,-12.71,200.0,0.3015,0.5241,3.08053,100
57,218.85,-18.85,200.0,0.3687,0.4511,3.18279,100
58,222.82,-22.82,200.0,0.36920000000000014,0.48979999999999996,3.15492,100
59,218.11,-18.11,200.0,0.36339999999999995,0.4543,3.17788,100
60,218.31,-18.31,200.0,0.33649999999999997,0.5101,3.11953,100
61,216.14,-16.14,200.0,0.3667000000000001,0.42800000000000005,3.1887,100
62,224.02,-24.02,200.0,0.3447999999999999,0.5506,3.08121,100
63,219.73,-19.73,200.0,0.3616,0.4741,3.16033,100
64,216.71,-16.71,200.0,0.31759999999999994,0.5319,3.0870100000000003,100
65,223.07,-23.07,200.0,0.3688,0.4930999999999999,3.1531700000000003,100
66,216.82,-16.82,200.0,0.31379999999999997,0.5406,3.07794,100
67,225.79,-25.79,200.0,0.3857,0.48650000000000004,3.1662600000000003,100
68,219.53,-19.53,200.0,0.35,0.49529999999999985,3.14108,100
69,218.91,-18.91,200.0,0.3650999999999999,0.45890000000000003,3.1735300000000004,100
70,219.18,-19.18,200.0,0.33490000000000003,0.522,3.1069,100
71,222.53,-22.53,200.0,0.3831000000000001,0.4590999999999999,3.18193,100
72,224.95,-24.95,200.0,0.37720000000000004,0.49509999999999993,3.1486199999999998,100
73,218.01,-18.01,200.0,0.3606999999999999,0.45870000000000005,3.16448,100
74,217.46,-17.46,200.0,0.34800000000000003,0.47859999999999997,3.14471,100
75,218.83,-18.83,200.0,0.36280000000000007,0.46270000000000006,3.17008,100
76,215.92,-15.92,200.0,0.3204,0.5184,3.1007399999999996,100
77,209.97,-9.97,200.0,0.31999999999999995,0.45970000000000005,3.1319899999999996,100
78,225.03,-25.03,200.0,0.4070000000000001,0.43629999999999997,3.21294,100
79,218.15,-18.15,200.0,0.3393,0.5029,3.1269899999999997,100
80,218.28,-18.28,200.0,0.35619999999999996,0.4703999999999999,3.15956,100
81,223.37,-23.37,200.0,0.37720000000000015,0.47930000000000006,3.1666,100
82,219.9,-19.9,200.0,0.3569,0.48519999999999996,3.1518,100
83,218.96,-18.96,200.0,0.34240000000000004,0.5047999999999999,3.1263,100
84,225.58,-25.58,200.0,0.39470000000000005,0.4664,3.1859,100
85,223.32,-23.32,200.0,0.36999999999999994,0.4931999999999999,3.15158,100
86,222.63,-22.63,200.0,0.39190000000000014,0.4425,3.2025,100
87,222.64,-22.64,200.0,0.38839999999999997,0.44959999999999994,3.1970500000000004,100
88,224.95,-24.95,200.0,0.3913999999999999,0.4667,3.1861599999999997,100
89,214.41,-14.41,200.0,0.32880000000000004,0.48650000000000004,3.12563,100
90,216.34,-16.34,200.0,0.3235,0.5164000000000001,3.09802,100
91,225.22,-25.22,200.0,0.39949999999999997,0.4532,3.19677,100
92,221.73,-21.73,200.0,0.36010000000000014,0.4971000000000001,3.14326,100
93,213.92,-13.92,200.0,0.32169999999999993,0.49579999999999996,3.11998,100
94,214.37,-14.37,200.0,0.34149999999999997,0.4607,3.15356,100
95,219.55,-19.55,200.0,0.38659999999999994,0.4222999999999999,3.20824,100
96,219.91,-19.91,200.0,0.38909999999999995,0.42090000000000005,3.2119299999999997,100
97,213.66,-13.66,200.0,0.3206,0.49540000000000006,3.11796,100
98,219.15,-19.15,200.0,0.3456000000000001,0.5003,3.13253,100
99,217.8,-17.8,200.0,0.3480000000000001,0.482,3.14921,100
100,226.99,-26.99,200.0,0.41269999999999996,0.4445,3.21151,100
100,230.81,-30.81,200.0,0.44959999999999994,0.4089,3.24735,100
101,215.87,-15.87,200.0,0.36089999999999994,0.43690000000000007,3.17807,100
102,217.1,-17.1,200.0,0.33720000000000006,0.4966,3.13092,100
103,216.54,-16.54,200.0,0.3674,0.43060000000000004,3.19,100
104,227.45,-27.45,200.0,0.3857000000000001,0.5031,3.14732,100
105,225.01,-25.01,200.0,0.40449999999999997,0.44110000000000005,3.21054,100
106,212.9,-12.9,200.0,0.306,0.5169999999999999,3.09043,100
107,227.28,-27.28,200.0,0.4182999999999999,0.4362,3.2194000000000003,100
108,221.26,-21.26,200.0,0.3631999999999999,0.48619999999999997,3.15451,100
109,222.43,-22.43,200.0,0.3719999999999999,0.4803,3.1582399999999997,100
110,222.12,-22.12,200.0,0.36510000000000004,0.49099999999999994,3.1533800000000003,100
111,214.47,-14.47,200.0,0.33470000000000005,0.47529999999999994,3.14101,100
112,212.01,-12.01,200.0,0.3033,0.5135000000000001,3.09008,100
113,218.32,-18.32,200.0,0.3617999999999999,0.45959999999999995,3.16574,100
114,218.69,-18.69,200.0,0.344,0.49890000000000007,3.12904,100
115,226.59,-26.59,200.0,0.4133,0.4393000000000001,3.21226,100
116,221.66,-21.66,200.0,0.3578,0.501,3.13788,100
117,215.76,-15.76,200.0,0.3528,0.45199999999999996,3.16602,100
118,213.31,-13.31,200.0,0.32470000000000004,0.4837,3.12391,100
