t,K,U,E,N0,Nx,S/nk,n
1,237.94,-37.94,200.0,0.4536000000000001,0.4722,3.01382,100
2,220.14,-20.14,200.0,0.35580000000000006,0.48979999999999996,3.0278899999999997,100
3,229.23,-29.23,200.0,0.4261,0.4401,3.13883,100
4,216.83,-16.83,200.0,0.3366,0.4951,3.0830300000000004,100
5,228.35,-28.35,200.0,0.4305999999999999,0.42230000000000006,3.19914,100
6,219.26,-19.26,200.0,0.3416000000000001,0.5094000000000001,3.10016,100
7,221.46,-21.46,200.0,0.3872,0.4402,3.1849499999999997,100
8,210.24,-10.24,200.0,0.311,0.4804,3.10454,100
9,224.21,-24.21,200.0,0.3820000000000001,0.47809999999999997,3.16238,100
10,224.36,-24.36,200.0,0.36760000000000015,0.5084000000000001,3.13282,100
11,220.18,-20.18,200.0,0.3701,0.4616,3.17129,100
12,219.45,-19.45,200.0,0.36920000000000003,0.45610000000000006,3.1670700000000003,100
13,221.07,-21.07,200.0,0.36249999999999993,0.4857000000000001,3.1353400000000002,100
14,217.31,-17.31,200.0,0.33840000000000003,0.4963000000000001,3.11579,100
15,221.78,-21.78,200.0,0.3703000000000001,0.47720000000000007,3.15285,100
16,219.53,-19.53,200.0,0.36180000000000007,0.47170000000000006,3.15164,100
17,222.5,-22.5,200.0,0.37900000000000006,0.467,3.1695100000000003,100
18,219.28,-19.28,200.0,0.3577,0.47740000000000005,3.15081,100
19,217.96,-17.96,200.0,0.337,0.5056,3.12177,100
20,222.88,-22.88,200.0,0.37449999999999994,0.47980000000000006,3.16667,100
21,226.7,-26.7,200.0,0.3838000000000001,0.49940000000000007,3.15035,100
22,224.75,-24.75,200.0,0.40270000000000006,0.44209999999999994,3.20446,100
23,221.85,-21.85,200.0,0.3488999999999999,0.5207,3.11423,100
24,223.77,-23.77,200.0,0.40319999999999995,0.4313,3.2119,100
25,223.91,-23.91,200.0,0.38439999999999996,0.47029999999999994,3.17667,100
26,227.81,-27.81,200.0,0.4265,0.42510000000000003,3.22785,100
27,215.07,-15.07,200.0,0.3233,0.5041,3.11129,100
28,222.04,-22.04,200.0,0.41340000000000005,0.3936,3.23402,100
29,223.97,-23.97,200.0,0.3896,0.46049999999999996,3.1839899999999997,100
30,224.08,-24.08,200.0,0.4174999999999999,0.4058,3.2272399999999997,100
31,227.43,-27.43,200.0,0.40759999999999996,0.4591000000000001,3.18062,100
32,223.53,-23.53,200.0,0.37810000000000005,0.4791,3.16049,100
33,216.31,-16.31,200.0,0.34950000000000003,0.4641,3.1585900000000002,100
34,218.67,-18.67,200.0,0.38539999999999996,0.41590000000000005,3.2102399999999998,100
35,223.73,-23.73,200.0,0.40390000000000015,0.42950000000000016,3.2151199999999998,100
36,218.9,-18.9,200.0,0.3718,0.4454,3.18759,100
37,217.31,-17.31,200.0,0.3653,0.4425,3.1845100000000004,100
38,225.21,-25.21,200.0,0.418,0.41609999999999997,3.22975,100
39,218.35,-18.35,200.0,0.35440000000000005,0.4747,3.15595,100
40,227.0,-27.0,200.0,0.3922,0.48560000000000003,3.1668499999999997,100
41,218.21,-18.21,200.0,0.34550000000000014,0.4910999999999999,3.14,100
42,222.8,-22.8,200.0,0.3772,0.4736,3.1727600000000002,100
43,220.62,-20.62,200.0,0.37500000000000006,0.4562000000000001,3.18247,100
44,221.99,-21.99,200.0,0.37720000000000015,0.46549999999999997,3.17718,100
45,216.43,-16.43,200.0,0.33710000000000007,0.4901,3.13246,100
46,219.28,-19.28,200.0,0.37579999999999997,0.44120000000000004,3.1894400000000003,100
47,215.86,-15.86,200.0,0.31620000000000004,0.5262,3.09226,100
48,218.43,-18.43,200.0,0.3299,0.5245000000000001,3.09723,100
49,215.67,-15.67,200.0,0.3222,0.5123000000000001,3.10658,100
50,218.75,-18.75,200.0,0.3622999999999999,0.4629000000000001,3.1696,100
51,222.71,-22.71,200.0,0.3576999999999999,0.5117,3.12665,100
52,223.19,-23.19,200.0,0.35910000000000003,0.5137,3.12429,100
53,225.56,-25.56,200.0,0.3981999999999999,0.45919999999999994,3.18706,100
54,217.46,-17.46,200.0,0.3348,0.5050000000000001,3.1218600000000003,100
55,215.28,-15.28,200.0,0.3143,0.5242000000000001,3.08879,100
56,221.32,-21.32,200.0,0.36140000000000005,0.49040000000000006,3.1460100000000004,100
57,220.58,-20.58,200.0,0.363,0.47979999999999995,3.15741,100
58,216.93,-16.93,200.0,0.34199999999999997,0.4853,3.13985,100
59,212.22,-12.22,200.0,0.3222,0.47779999999999995,3.12612,100
60,223.19,-23.19,200.0,0.36959999999999993,0.4927,3.14689,100
61,217.4,-17.4,200.0,0.3525999999999999,0.46880000000000005,3.1543400000000004,100
62,222.07,-22.07,200.0,0.3779,0.4649000000000001,3.1736500000000003,100
63,224.38,-24.38,200.0,0.3839999999999999,0.4758000000000001,3.16754,100
64,217.7,-17.7,200.0,0.37190000000000006,0.4331999999999999,3.1852300000000002,100
65,221.64,-21.64,200.0,0.36999999999999994,0.4764,3.1637600000000003,100
66,220.99,-20.99,200.0,0.37360000000000015,0.4627000000000001,3.17549,100
67,222.18,-22.18,200.0,0.3632,0.4954,3.14371,100
68,224.3,-24.3,200.0,0.3778,0.48739999999999994,3.15989,100
69,219.51,-19.51,200.0,0.3298,0.5355000000000001,3.09145,100
70,218.04,-18.04,200.0,0.3522,0.47600000000000003,3.15177,100
71,221.98,-21.98,200.0,0.35509999999999997,0.5095999999999998,3.12931,100
72,215.4,-15.4,200.0,0.3699,0.4142,3.18946,100
73,215.44,-15.44,200.0,0.3264,0.5015999999999999,3.11006,100
74,216.54,-16.54,200.0,0.35040000000000004,0.46459999999999996,3.15132,100
75,217.99,-17.99,200.0,0.3033,0.5733,3.03525,100
76,214.85,-14.85,200.0,0.3355,0.4775,3.14001,100
77,219.08,-19.08,200.0,0.3322000000000001,0.5264,3.1031500000000003,100
78,219.37,-19.37,200.0,0.3613,0.4710999999999999,3.1633,100
79,222.18,-22.18,200.0,0.3519,0.5179999999999999,3.11996,100
80,218.5,-18.5,200.0,0.37290000000000006,0.43920000000000003,3.1891,100
81,212.89,-12.89,200.0,0.31470000000000004,0.49950000000000006,3.1043000000000003,100
82,222.52,-22.52,200.0,0.37459999999999993,0.47600000000000003,3.16625,100
83,212.33,-12.33,200.0,0.3054,0.5125000000000001,3.09299,100
84,219.89,-19.89,200.0,0.34630000000000005,0.5063,3.1298600000000003,100
85,209.56,-9.56,200.0,0.2809000000000001,0.5338,3.0445100000000003,100
86,220.43,-20.43,200.0,0.36510000000000004,0.4740999999999999,3.1655300000000004,100
87,220.17,-20.17,200.0,0.3453000000000001,0.5111000000000001,3.12509,100
88,216.43,-16.43,200.0,0.3452000000000001,0.4738999999999999,3.15201,100
89,222.66,-22.66,200.0,0.3818,0.46299999999999997,3.1845,100
90,219.29,-19.29,200.0,0.3589,0.4750999999999999,3.1626,100
91,219.82,-19.82,200.0,0.34809999999999997,0.502,3.1343,100
92,217.22,-17.22,200.0,0.33440000000000014,0.5034000000000001,3.12504,100
93,222.31,-22.31,200.0,0.3606,0.5019,3.14101,100
94,218.29,-18.29,200.0,0.3383,0.5063000000000001,3.12573,100
95,209.71,-9.71,200.0,0.3142999999999999,0.4685000000000001,3.12527,100
96,213.24,-13.24,200.0,0.3325,0.4674000000000001,3.14209,100
97,224.97,-24.97,200.0,0.4152,0.41929999999999995,3.22564,100
98,217.83,-17.83,200.0,0.3434,0.4915,3.13585,100
99,224.23,-24.23,200.0,0.4183,0.4057,3.23361,100
100,217.11,-17.11,200.0,0.33590000000000003,0.4993000000000001,3.12871,100
100,217.1,-17.1,200.0,0.3361999999999999,0.4986,3.1293200000000003,100
101,224.41,-24.41,200.0,0.41890000000000005,0.40630000000000005,3.23343,100
102,217.7,-17.7,200.0,0.3432,0.49060000000000004,3.13646,100
103,224.94,-24.94,200.0,0.41470000000000007,0.42,3.22494,100
104,213.18,-13.18,200.0,0.3323,0.46720000000000006,3.142,100
105,209.74,-9.74,200.0,0.31409999999999993,0.46920000000000006,3.12471,100
106,218.41,-18.41,200.0,0.3391000000000001,0.5059,3.12654,100
107,222.24,-22.24,200.0,0.36010000000000003,0.5021999999999999,3.1405,100
108,217.28,-17.28,200.0,0.3347,0.5034000000000001,3.12519,100
109,219.75,-19.75,200.0,0.3479,0.5017,3.13444,100
110,219.32,-19.32,200.0,0.3591,0.4749999999999999,3.16281,100
111,222.69,-22.69,200.0,0.3819000000000001,0.46309999999999996,3.1844699999999997,100
112,216.37,-16.37,200.0,0.34489999999999993,0.47389999999999993,3.15183,100
113,220.25,-20.25,200.0,0.34570000000000006,0.5111,3.12531,100
114,220.25,-20.25,200.0,0.364,0.47450000000000003,3.1644200000000002,100
115,209.68,-9.68,200.0,0.2816,0.5336,3.0452600000000003,100
116,219.87,-19.87,200.0,0.3460000000000001,0.5066999999999999,3.1293200000000003,100
117,212.29,-12.29,200.0,0.3054999999999999,0.5119,3.09351,100
118,222.63,-22.63,200.0,0.37499999999999994,0.47629999999999995,3.16627,100
119,212.75,-12.75,200.0,0.31439999999999996,0.49870000000000003,3.1045700000000003,100
120,218.54,-18.54,200.0,0.37270000000000003,0.44000000000000006,3.18854,100
121,222.23,-22.23,200.0,0.3523000000000001,0.5176999999999999,3.12046,100
122,219.37,-19.37,200.0,0.3612,0.47129999999999994,3.16309,100
123,219.08,-19.08,200.0,0.33230000000000004,0.5262,3.1033600000000003,100
124,214.74,-14.74,200.0,0.3346,0.47819999999999996,3.13875,100
125,218.15,-18.15,200.0,0.30419999999999997,0.5731,3.0360500000000004,100
126,216.32,-16.32,200.0,0.34950000000000003,0.4642000000000001,3.15082,100
127,215.58,-15.58,200.0,0.32739999999999997,0.501,3.11137,100
128,215.44,-15.44,200.0,0.3698999999999999,0.4145999999999999,3.18925,100
129,222.03,-22.03,200.0,0.35529999999999995,0.5097,3.1293200000000003,100
130,217.83,-17.83,200.0,0.3509,0.4765,3.1503699999999997,100
131,219.79,-19.79,200.0,0.33140000000000003,0.5351,3.0927800000000003,100
132,224.24,-24.24,200.0,0.3775,0.48739999999999994,3.15986,100
133,222.11,-22.11,200.0,0.3627000000000001,0.49570000000000003,3.14322,100
134,221.08,-21.08,200.0,0.37439999999999996,0.4620000000000001,3.17644,100
135,221.54,-21.54,200.0,0.3697,0.4759999999999999,3.16383,100
136,217.84,-17.84,200.0,0.37199999999999994,0.4344000000000001,3.18419,100
137,224.35,-24.35,200.0,0.38460000000000005,0.47430000000000005,3.1691100000000003,100
138,221.92,-21.92,200.0,0.3761999999999999,0.46680000000000005,3.17129,100
139,217.53,-17.53,200.0,0.35409999999999997,0.46709999999999996,3.15652,100
140,223.01,-23.01,200.0,0.3680000000000001,0.49410000000000004,3.14488,100
141,212.32,-12.32,200.0,0.3232999999999999,0.47660000000000013,3.1277399999999997,100
142,216.87,-16.87,200.0,0.3410999999999999,0.48650000000000004,3.13841,100
143,220.7,-20.7,200.0,0.3642,0.47859999999999997,3.15903,100
144,221.24,-21.24,200.0,0.36019999999999996,0.49200000000000005,3.144,100
145,215.35,-15.35,200.0,0.3152999999999999,0.5229,3.09052,100
146,217.33,-17.33,200.0,0.3336999999999999,0.5059,3.12043,100
147,225.71,-25.71,200.0,0.3995,0.45809999999999995,3.18871,100
148,223.09,-23.09,200.0,0.35789999999999994,0.5151,3.1224499999999997,100
149,222.77,-22.77,200.0,0.35859999999999986,0.5105000000000001,3.12822,100
150,218.71,-18.71,200.0,0.3619,0.46330000000000005,3.16908,100
151,215.72,-15.72,200.0,0.32220000000000004,0.5128,3.1061,100
152,218.3,-18.3,200.0,0.3293999999999999,0.5242,3.09715,100
153,215.97,-15.97,200.0,0.31679999999999997,0.5261,3.09279,100
154,219.22,-19.22,200.0,0.37579999999999997,0.44059999999999994,3.18982,100
155,216.45,-16.45,200.0,0.33690000000000003,0.4906999999999999,3.13196,100
156,222.05,-22.05,200.0,0.3777,0.46510000000000007,3.1777800000000003,100
157,220.66,-20.66,200.0,0.37529999999999997,0.456,3.18274,100
158,222.73,-22.73,200.0,0.37650000000000006,0.47429999999999994,3.1718699999999997,100
159,218.34,-18.34,200.0,0.34639999999999993,0.49059999999999987,3.14073,100
160,226.85,-26.85,200.0,0.3912000000000001,0.4860999999999999,3.16606,100
161,218.4,-18.4,200.0,0.3550000000000001,0.474,3.15681,100
162,225.23,-25.23,200.0,0.41809999999999986,0.4160999999999999,3.2298,100
163,217.23,-17.23,200.0,0.36499999999999994,0.4423,3.18443,100
164,218.94,-18.94,200.0,0.3718000000000001,0.4458,3.18738,100
165,223.76,-23.76,200.0,0.4044,0.4288,3.21578,100
166,218.61,-18.61,200.0,0.3846,0.4168999999999999,3.20919,100
167,216.37,-16.37,200.0,0.3503,0.4630999999999999,3.15964,100
168,223.49,-23.49,200.0,0.3769000000000001,0.4811000000000001,3.1582,100
169,227.55,-27.55,200.0,0.4096,0.45630000000000004,3.18352,100
170,223.89,-23.89,200.0,0.41559999999999997,0.4077,3.22527,100
