t,K,U,E,N0,Nx,S/nk,n
1,241.67,-41.67,200.0,0.475,0.4667,3.0109,100
2,222.03,-22.03,200.0,0.3515,0.5173,3.02074,100
3,225.71,-25.71,200.0,0.3883,0.4805,3.11617,100
4,223.36,-23.36,200.0,0.37300000000000005,0.48760000000000003,3.1207,100
5,223.07,-23.07,200.0,0.38910000000000006,0.4524999999999999,3.16682,100
6,220.3,-20.3,200.0,0.3382,0.5266000000000001,3.09389,100
7,220.7,-20.7,200.0,0.35120000000000007,0.5046,3.12663,100
8,223.81,-23.81,200.0,0.3638000000000001,0.5105,3.12659,100
9,221.86,-21.86,200.0,0.35800000000000004,0.5026000000000002,3.1309099999999996,100
10,217.59,-17.59,200.0,0.353,0.4699000000000001,3.15063,100
11,216.7,-16.7,200.0,0.32650000000000007,0.514,3.10146,100
12,215.33,-15.33,200.0,0.3233,0.5067,3.10864,100
13,213.5,-13.5,200.0,0.34369999999999995,0.44760000000000005,3.16146,100
14,217.14,-17.14,200.0,0.31010000000000004,0.5512,3.06565,100
15,221.47,-21.47,200.0,0.37920000000000004,0.45630000000000004,3.1857399999999996,100
16,221.53,-21.53,200.0,0.3583000000000001,0.4986999999999999,3.1436100000000002,100
17,219.34,-19.34,200.0,0.37139999999999995,0.4506000000000001,3.18601,100
18,216.83,-16.83,200.0,0.34850000000000003,0.47129999999999994,3.1566,100
19,222.01,-22.01,200.0,0.3619,0.4963,3.1451700000000002,100
20,219.16,-19.16,200.0,0.35119999999999996,0.4892,3.1375300000000004,100
21,222.86,-22.86,200.0,0.36800000000000005,0.4926,3.15296,100
22,222.2,-22.2,200.0,0.3912,0.43959999999999994,3.20164,100
23,216.82,-16.82,200.0,0.3226,0.523,3.0987199999999997,100
24,220.59,-20.59,200.0,0.3897,0.42650000000000005,3.20408,100
25,221.32,-21.32,200.0,0.3612999999999999,0.49060000000000004,3.14449,100
26,219.29,-19.29,200.0,0.3671999999999999,0.45849999999999996,3.17586,100
27,221.54,-21.54,200.0,0.34769999999999995,0.52,3.11618,100
28,218.83,-18.83,200.0,0.3688,0.4507,3.17844,100
29,211.66,-11.66,200.0,0.276,0.5646,3.01446,100
30,220.14,-20.14,200.0,0.3671,0.4672,3.15947,100
31,217.63,-17.63,200.0,0.3360999999999999,0.5041,3.1223,100
32,219.92,-19.92,200.0,0.3741999999999999,0.4508,3.18598,100
33,211.09,-11.09,200.0,0.3073,0.4963,3.1028800000000003,100
34,209.61,-9.61,200.0,0.3251,0.4459,3.14028,100
35,217.34,-17.34,200.0,0.3529999999999998,0.4673999999999999,3.1628000000000003,100
36,219.98,-19.98,200.0,0.35229999999999995,0.4952,3.1416,100
37,218.29,-18.29,200.0,0.3372,0.5085000000000001,3.12141,100
38,220.99,-20.99,200.0,0.37810000000000005,0.4537,3.18579,100
39,217.42,-17.42,200.0,0.33049999999999996,0.5131999999999999,3.1146700000000003,100
40,207.52,-7.52,200.0,0.2914,0.4923999999999999,3.08846,100
41,217.38,-17.38,200.0,0.3460999999999999,0.48160000000000003,3.14562,100
42,218.44,-18.44,200.0,0.3344999999999999,0.5154000000000001,3.11321,100
43,213.71,-13.71,200.0,0.33230000000000004,0.4725000000000001,3.14048,100
44,214.36,-14.36,200.0,0.33010000000000006,0.48340000000000005,3.13373,100
45,218.15,-18.15,200.0,0.3882000000000001,0.40509999999999996,3.21715,100
46,211.87,-11.87,200.0,0.28959999999999997,0.5395,3.05361,100
47,208.76,-8.76,200.0,0.30590000000000006,0.4758,3.1085700000000003,100
48,223.42,-23.42,200.0,0.3692,0.49579999999999996,3.14834,100
49,218.74,-18.74,200.0,0.36530000000000007,0.4568,3.17601,100
50,219.31,-19.31,200.0,0.34620000000000006,0.5007,3.1323600000000003,100
51,216.77,-16.77,200.0,0.32939999999999997,0.5089,3.1154499999999996,100
52,215.48,-15.48,200.0,0.34370000000000006,0.46740000000000004,3.15243,100
53,215.02,-15.02,200.0,0.3299,0.4904,3.12867,100
54,220.82,-20.82,200.0,0.3887000000000001,0.43080000000000007,3.20596,100
55,219.71,-19.71,200.0,0.3429999999999999,0.5111,3.12093,100
56,220.08,-20.08,200.0,0.3515,0.49779999999999996,3.14064,100
57,219.92,-19.92,200.0,0.3505,0.4982,3.13951,100
58,220.34,-20.34,200.0,0.3532,0.49700000000000005,3.1415300000000004,100
59,219.35,-19.35,200.0,0.34299999999999997,0.5075000000000001,3.1269099999999996,100
60,220.44,-20.44,200.0,0.36639999999999995,0.4716,3.16723,100
61,214.05,-14.05,200.0,0.31259999999999993,0.5153,3.09607,100
62,217.97,-17.97,200.0,0.35900000000000004,0.46169999999999994,3.1673400000000003,100
63,214.03,-14.03,200.0,0.31739999999999996,0.5055,3.10812,100
64,210.34,-10.34,200.0,0.3093,0.48480000000000006,3.11167,100
65,217.08,-17.08,200.0,0.3234,0.524,3.09644,100
66,224.12,-24.12,200.0,0.3831,0.475,3.1745300000000003,100
67,222.64,-22.64,200.0,0.35119999999999996,0.524,3.11015,100
68,219.65,-19.65,200.0,0.36650000000000005,0.46349999999999997,3.17314,100
69,219.57,-19.57,200.0,0.3619999999999999,0.47169999999999995,3.16569,100
70,212.75,-12.75,200.0,0.3188,0.4898999999999999,3.1173200000000003,100
71,223.72,-23.72,200.0,0.37479999999999997,0.4875999999999999,3.1605700000000003,100
72,214.66,-14.66,200.0,0.3179,0.5108,3.10333,100
73,217.83,-17.83,200.0,0.36340000000000017,0.4514999999999999,3.17444,100
74,218.38,-18.38,200.0,0.31289999999999996,0.5580000000000002,3.06009,100
75,215.59,-15.59,200.0,0.36310000000000003,0.42969999999999997,3.18452,100
76,206.67,-6.67,200.0,0.23469999999999996,0.5973,2.9511100000000003,100
77,215.82,-15.82,200.0,0.3641,0.43000000000000005,3.1806799999999997,100
78,214.66,-14.66,200.0,0.2947000000000001,0.5572,3.03862,100
79,207.88,-7.88,200.0,0.30949999999999994,0.45980000000000004,3.1091100000000003,100
80,228.0,-28.0,200.0,0.3933,0.4934000000000001,3.15575,100
81,222.72,-22.72,200.0,0.38130000000000003,0.4646,3.18166,100
82,221.51,-21.51,200.0,0.3637,0.4877000000000001,3.1536999999999997,100
83,212.77,-12.77,200.0,0.3194000000000001,0.4889,3.11975,100
84,211.15,-11.15,200.0,0.3144,0.48269999999999996,3.11297,100
85,212.73,-12.73,200.0,0.3227999999999999,0.4817,3.1227600000000004,100
86,209.76,-9.76,200.0,0.3013,0.49500000000000005,3.09477,100
87,212.05,-12.05,200.0,0.3263,0.4679,3.13293,100
88,213.4,-13.4,200.0,0.33549999999999996,0.463,3.14298,100
89,222.15,-22.15,200.0,0.37309999999999993,0.4753,3.1675500000000003,100
90,217.93,-17.93,200.0,0.3443,0.4907,3.13952,100
91,219.28,-19.28,200.0,0.3557,0.4814,3.15286,100
92,222.76,-22.76,200.0,0.4076000000000001,0.41240000000000004,3.2182199999999996,100
93,220.96,-20.96,200.0,0.3587,0.49219999999999997,3.14204,100
94,225.08,-25.08,200.0,0.3803,0.4902,3.1567600000000002,100
95,220.4,-20.4,200.0,0.36630000000000007,0.4714000000000001,3.1665900000000002,100
96,225.71,-25.71,200.0,0.39699999999999996,0.46309999999999996,3.1888,100
97,216.88,-16.88,200.0,0.33520000000000005,0.4984,3.1190900000000004,100
98,215.57,-15.57,200.0,0.30399999999999994,0.5477,3.0574,100
99,212.61,-12.61,200.0,0.3424999999999999,0.44109999999999994,3.16167,100
100,207.45,-7.45,200.0,0.2878,0.49889999999999984,3.07981,100
100,219.53,-19.53,200.0,0.3517,0.4919,3.14303,100
101,219.42,-19.42,200.0,0.34199999999999997,0.5102,3.12383,100
102,215.99,-15.99,200.0,0.3364999999999999,0.4869000000000001,3.13505,100
103,215.64,-15.64,200.0,0.3194,0.5176000000000001,3.09933,100
104,212.9,-12.9,200.0,0.31679999999999997,0.4953999999999999,3.1151999999999997,100
105,220.34,-20.34,200.0,0.34720000000000006,0.509,3.12815,100
106,218.28,-18.28,200.0,0.3393999999999999,0.504,3.12493,100
107,217.97,-17.97,200.0,0.35019999999999996,0.47930000000000006,3.13995,100
108,222.04,-22.04,200.0,0.37079999999999996,0.47879999999999995,3.16525,100
109,223.81,-23.81,200.0,0.38130000000000003,0.4755,3.17401,100
110,220.26,-20.26,200.0,0.36939999999999995,0.46380000000000005,3.1745,100
111,213.66,-13.66,200.0,0.3394,0.4578000000000001,3.1527600000000002,100
112,217.71,-17.71,200.0,0.3261,0.5249000000000001,3.09886,100
113,220.66,-20.66,200.0,0.36529999999999996,0.4759999999999999,3.1643000000000003,100
114,221.04,-21.04,200.0,0.3746999999999999,0.46100000000000013,3.18005,100
115,221.05,-21.05,200.0,0.3496,0.5113,3.12401,100
116,222.68,-22.68,200.0,0.35779999999999995,0.5112,3.1252600000000004,100
117,225.42,-25.42,200.0,0.39940000000000003,0.4554000000000001,3.19815,100
118,218.74,-18.74,200.0,0.3548000000000001,0.4778,3.1560300000000003,100
119,214.98,-14.98,200.0,0.34060000000000007,0.4686,3.15062,100
120,214.36,-14.36,200.0,0.32699999999999996,0.4896000000000001,3.12487,100
121,219.61,-19.61,200.0,0.36140000000000005,0.47330000000000005,3.15926,100
122,215.81,-15.81,200.0,0.33630000000000004,0.4855,3.1331100000000003,100
123,219.17,-19.17,200.0,0.35619999999999996,0.47929999999999995,3.1494299999999997,100
124,217.07,-17.07,200.0,0.3172,0.5363,3.08446,100
125,220.55,-20.55,200.0,0.3716000000000001,0.46230000000000004,3.17596,100
126,213.16,-13.16,200.0,0.2995,0.5326000000000001,3.07351,100
127,220.11,-20.11,200.0,0.38170000000000004,0.43770000000000003,3.19744,100
128,218.27,-18.27,200.0,0.34210000000000007,0.4985,3.13339,100
129,224.04,-24.04,200.0,0.39229999999999987,0.45580000000000015,3.1944299999999997,100
130,215.62,-15.62,200.0,0.33860000000000007,0.479,3.1386700000000003,100
131,221.06,-21.06,200.0,0.36340000000000006,0.4838,3.1559299999999997,100
132,221.18,-21.18,200.0,0.37760000000000005,0.45660000000000006,3.18325,100
133,219.93,-19.93,200.0,0.341,0.5173,3.11175,100
134,221.79,-21.79,200.0,0.38120000000000004,0.45549999999999996,3.18347,100
