t,K,U,E,N0,Nx,S/nk,n
1,240.53,-40.53,200.0,0.47879999999999995,0.44770000000000004,3.05065,100
2,228.38,-28.38,200.0,0.40309999999999996,0.47759999999999986,3.08623,100
3,223.45,-23.45,200.0,0.38060000000000005,0.47330000000000005,3.1215900000000003,100
4,214.18,-14.18,200.0,0.3396,0.46260000000000007,3.13376,100
5,221.81,-21.81,200.0,0.35,0.5181,3.11267,100
6,220.71,-20.71,200.0,0.3621000000000001,0.48290000000000005,3.15088,100
7,215.02,-15.02,200.0,0.3134,0.5234,3.09287,100
8,221.72,-21.72,200.0,0.38300000000000006,0.4512,3.1931599999999998,100
9,220.42,-20.42,200.0,0.34400000000000014,0.5162,3.11992,100
10,218.12,-18.12,200.0,0.3747,0.4317999999999999,3.19554,100
11,209.9,-9.9,200.0,0.29699999999999993,0.505,3.0852199999999996,100
12,222.84,-22.84,200.0,0.3926,0.44319999999999987,3.19995,100
13,218.81,-18.81,200.0,0.3446,0.49890000000000007,3.1318,100
14,223.03,-23.03,200.0,0.38880000000000003,0.45270000000000005,3.19396,100
15,220.91,-20.91,200.0,0.34550000000000014,0.5181,3.11141,100
16,220.28,-20.28,200.0,0.3836,0.43559999999999993,3.19788,100
17,217.62,-17.62,200.0,0.3322999999999999,0.5115999999999999,3.11456,100
18,220.09,-20.09,200.0,0.36590000000000006,0.46909999999999996,3.16873,100
19,221.45,-21.45,200.0,0.38059999999999994,0.4533,3.18909,100
20,220.2,-20.2,200.0,0.36690000000000006,0.46820000000000006,3.1716100000000003,100
21,226.98,-26.98,200.0,0.39909999999999995,0.47159999999999996,3.1852300000000002,100
22,217.82,-17.82,200.0,0.36119999999999997,0.4558,3.17456,100
23,216.03,-16.03,200.0,0.32159999999999994,0.5171000000000001,3.10377,100
24,219.37,-19.37,200.0,0.3536000000000001,0.4865,3.1469099999999997,100
25,216.58,-16.58,200.0,0.33,0.5058,3.11481,100
26,216.05,-16.05,200.0,0.3423000000000001,0.47590000000000005,3.14531,100
27,223.82,-23.82,200.0,0.3521,0.534,3.1041,100
