t,K,U,E,N0,Nx,S/nk,n
1,238.25,-38.25,200.0,0.4486,0.4853,2.9925,100
2,215.94,-15.94,200.0,0.3189,0.5216000000000001,2.99127,100
3,219.46,-19.46,200.0,0.37079999999999996,0.45299999999999996,3.14209,100
4,220.68,-20.68,200.0,0.38959999999999995,0.42760000000000004,3.1950100000000003,100
5,222.25,-22.25,200.0,0.3626,0.4973,3.1401399999999997,100
6,218.91,-18.91,200.0,0.3749,0.4392999999999999,3.18627,100
7,213.09,-13.09,200.0,0.3243,0.48230000000000006,3.12465,100
8,210.17,-10.17,200.0,0.3018,0.49810000000000004,3.09185,100
9,221.68,-21.68,200.0,0.3806000000000001,0.4556,3.1813800000000003,100
10,224.15,-24.15,200.0,0.4022,0.4371,3.2101599999999997,100
11,218.79,-18.79,200.0,0.35869999999999996,0.47050000000000003,3.1651100000000003,100
12,216.7,-16.7,200.0,0.33649999999999997,0.494,3.1316599999999997,100
13,224.91,-24.91,200.0,0.38000000000000006,0.48910000000000003,3.16155,100
14,219.69,-19.69,200.0,0.3460000000000001,0.5049,3.1307199999999997,100
15,216.68,-16.68,200.0,0.3605000000000001,0.4457999999999999,3.17819,100
16,214.1,-14.1,200.0,0.30169999999999997,0.5376000000000002,3.06892,100
17,215.06,-15.06,200.0,0.3461,0.45840000000000003,3.16055,100
18,218.09,-18.09,200.0,0.3381,0.5047,3.1255,100
19,216.94,-16.94,200.0,0.34739999999999993,0.4745999999999999,3.15333,100
20,216.15,-16.15,200.0,0.3097,0.5421,3.07098,100
21,219.03,-19.03,200.0,0.3557999999999999,0.4786999999999999,3.15394,100
22,220.49,-20.49,200.0,0.34879999999999994,0.5073,3.1304499999999997,100
23,211.96,-11.96,200.0,0.3211,0.47740000000000005,3.1274,100
24,213.71,-13.71,200.0,0.307,0.5231,3.08354,100
25,222.03,-22.03,200.0,0.36329999999999996,0.4937,3.14493,100
26,224.53,-24.53,200.0,0.37449999999999994,0.49629999999999996,3.1446199999999997,100
27,217.22,-17.22,200.0,0.33190000000000003,0.5084,3.11277,100
28,217.88,-17.88,200.0,0.3479,0.483,3.14562,100
29,215.58,-15.58,200.0,0.3353999999999999,0.48499999999999993,3.137,100
30,219.18,-19.18,200.0,0.3337,0.5243999999999999,3.10466,100
31,219.45,-19.45,200.0,0.3848,0.4249,3.20512,100
32,211.55,-11.55,200.0,0.314,0.48750000000000004,3.11569,100
33,214.72,-14.72,200.0,0.3342,0.47879999999999995,3.13985,100
34,214.5,-14.5,200.0,0.3558,0.43339999999999995,3.18006,100
35,224.28,-24.28,200.0,0.3924,0.45800000000000013,3.19348,100
36,217.24,-17.24,200.0,0.34659999999999996,0.47919999999999985,3.14775,100
37,223.02,-23.02,200.0,0.3917,0.4468000000000001,3.19854,100
38,219.05,-19.05,200.0,0.35130000000000017,0.4879,3.1471,100
39,221.03,-21.03,200.0,0.364,0.4822999999999999,3.15916,100
40,219.84,-19.84,200.0,0.37420000000000003,0.4500000000000001,3.18486,100
41,222.91,-22.91,200.0,0.36910000000000004,0.49090000000000006,3.1474499999999996,100
42,216.2,-16.2,200.0,0.34129999999999994,0.47940000000000005,3.1425,100
43,218.8,-18.8,200.0,0.36229999999999996,0.46339999999999987,3.16732,100
44,217.19,-17.19,200.0,0.3192,0.5335000000000001,3.08766,100
45,221.17,-21.17,200.0,0.3715,0.4687000000000001,3.1723000000000003,100
46,222.02,-22.02,200.0,0.3435,0.5331999999999999,3.09588,100
