t,K,U,E,N0,Nx,S/nk,n
1,240.48,-40.48,200.0,0.46740000000000004,0.4699999999999999,3.01526,100
2,224.58,-24.58,200.0,0.3712,0.5034000000000001,3.0331900000000003,100
3,223.13,-23.13,200.0,0.3954,0.44049999999999995,3.14248,100
4,217.42,-17.42,200.0,0.32730000000000004,0.5196000000000001,3.06951,100
5,221.64,-21.64,200.0,0.38800000000000007,0.4404000000000001,3.1889600000000002,100
6,223.23,-23.23,200.0,0.39289999999999997,0.4465,3.19359,100
7,224.59,-24.59,200.0,0.40280000000000016,0.4402999999999999,3.20533,100
8,222.45,-22.45,200.0,0.3618,0.5009,3.13986,100
9,220.11,-20.11,200.0,0.3720000000000001,0.4571,3.18155,100
10,216.85,-16.85,200.0,0.37440000000000007,0.41969999999999996,3.19974,100
11,213.33,-13.33,200.0,0.2982,0.5368999999999999,3.06731,100
12,218.44,-18.44,200.0,0.35950000000000004,0.46540000000000015,3.1686300000000003,100
13,222.79,-22.79,200.0,0.3801,0.4677000000000001,3.17868,100
14,221.9,-21.9,200.0,0.3801,0.45880000000000004,3.18633,100
15,216.02,-16.02,200.0,0.34230000000000005,0.4756,3.15003,100
16,217.85,-17.85,200.0,0.32220000000000004,0.5341,3.08908,100
17,218.82,-18.82,200.0,0.35180000000000006,0.4845999999999999,3.14775,100
18,222.57,-22.57,200.0,0.3673,0.4911000000000001,3.15382,100
19,216.95,-16.95,200.0,0.3312,0.5070999999999999,3.1192800000000003,100
20,223.25,-23.25,200.0,0.3691000000000001,0.4943,3.15202,100
21,213.84,-13.84,200.0,0.2881000000000001,0.5622,3.03765,100
22,220.66,-20.66,200.0,0.3669,0.4728000000000001,3.1583099999999997,100
23,220.98,-20.98,200.0,0.3570999999999999,0.49559999999999993,3.14353,100
24,217.55,-17.55,200.0,0.40009999999999996,0.3753000000000001,3.22991,100
25,222.09,-22.09,200.0,0.3485999999999999,0.5236999999999999,3.1138000000000003,100
26,233.23,-33.23,200.0,0.4434,0.44549999999999995,3.2149,100
27,218.16,-18.16,200.0,0.33839999999999987,0.5047999999999999,3.1256,100
28,217.44,-17.44,200.0,0.34550000000000003,0.48340000000000005,3.145,100
29,222.05,-22.05,200.0,0.38400000000000006,0.45250000000000007,3.1898899999999997,100
30,217.84,-17.84,200.0,0.3263999999999999,0.5256,3.10052,100
31,221.48,-21.48,200.0,0.3570000000000001,0.5008,3.1378600000000003,100
32,214.52,-14.52,200.0,0.327,0.4912,3.12401,100
33,219.21,-19.21,200.0,0.3697000000000001,0.45269999999999994,3.1791300000000002,100
34,218.46,-18.46,200.0,0.3635999999999999,0.45740000000000003,3.1745900000000002,100
35,219.94,-19.94,200.0,0.34330000000000005,0.5128,3.11702,100
36,227.81,-27.81,200.0,0.4031,0.47190000000000004,3.18452,100
37,225.41,-25.41,200.0,0.40429999999999994,0.44549999999999995,3.20089,100
38,216.44,-16.44,200.0,0.3081,0.5482,3.05755,100
39,218.67,-18.67,200.0,0.3456,0.4954999999999999,3.13374,100
40,219.57,-19.57,200.0,0.3518999999999999,0.49190000000000006,3.14346,100
